Data;UF;Cidade;Regiao;CodigoEstacao;Latitude;Longitude;Altitude;ArquivoFonte;Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Unnamed: 7;Unnamed: 6
20120930.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-09-30;4,0;46,8;890,3;23,8;10,2;3,9;;
20121031.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-10-31;12,0;168,0;887,6;24,1;10,9;4,0;;
20121130.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-11-30;22,0;568,2;886,2;21,6;9,4;3,5;;
20121231.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2012-12-31;21,0;253,4;887,0;22,7;9,5;2,9;;
20130131.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2013-01-31;25,0;556,2;887,5;21,4;8,3;3,4;;
20130228.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2013-02-28;7,0;;;23,0;9,4;;;
20121130.0;;MARIANOPOLIS DO TO;;A041;-9.57638888;-49.72333332;186.69;dados_A041_M_2012-11-23_2025-08-01.csv;2012-11-30;3,0;;;;;;;
20121231.0;;MARIANOPOLIS DO TO;;A041;-9.57638888;-49.72333332;186.69;dados_A041_M_2012-11-23_2025-08-01.csv;2012-12-31;23,0;251,6;988,3;25,5;8,9;1,7;;
20130131.0;;MARIANOPOLIS DO TO;;A041;-9.57638888;-49.72333332;186.69;dados_A041_M_2012-11-23_2025-08-01.csv;2013-01-31;26,0;478,2;989,6;25,2;7,1;1,7;;
20130228.0;;MARIANOPOLIS DO TO;;A041;-9.57638888;-49.72333332;186.69;dados_A041_M_2012-11-23_2025-08-01.csv;2013-02-28;21,0;303,4;988,8;25,3;8,8;1,6;;
20130331.0;;MARIANOPOLIS DO TO;;A041;-9.57638888;-49.72333332;186.69;dados_A041_M_2012-11-23_2025-08-01.csv;2013-03-31;23,0;141,2;989,5;25,8;6,7;1,6;;
20130430.0;;MARIANOPOLIS DO TO;;A041;-9.57638888;-49.72333332;186.69;dados_A041_M_2012-11-23_2025-08-01.csv;2013-04-30;19,0;192,0;990,0;25,9;7,9;1,4;;
20130531.0;;MARIANOPOLIS DO TO;;A041;-9.57638888;-49.72333332;186.69;dados_A041_M_2012-11-23_2025-08-01.csv;2013-05-31;8,0;42,4;990,4;26,3;5,1;1,4;;
20130630.0;;MARIANOPOLIS DO TO;;A041;-9.57638888;-49.72333332;186.69;dados_A041_M_2012-11-23_2025-08-01.csv;2013-06-30;3,0;27,0;991,0;25,8;7,2;1,4;;
20130731.0;;MARIANOPOLIS DO TO;;A041;-9.57638888;-49.72333332;186.69;dados_A041_M_2012-11-23_2025-08-01.csv;2013-07-31;4,0;2,2;991,7;25,7;6,5;1,7;;
20130831.0;;MARIANOPOLIS DO TO;;A041;-9.57638888;-49.72333332;186.69;dados_A041_M_2012-11-23_2025-08-01.csv;2013-08-31;0,0;0,0;990,1;26,7;7,9;1,8;;
