Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor;Consumo;Consumidores;DataVersao
20240501;01/05/2024;Nordeste;NORDESTE;Residencial;Cativo;2.676.399,2;19.826.004;22/09/2025
20240501;01/05/2024;Nordeste;NORDESTE;Residencial;Livre;32,7;1;22/09/2025
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;428.694,5;2.535.290;22/09/2025
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;65,0;1;22/09/2025
20240501;01/05/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;978,0;719;22/09/2025
20240501;01/05/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;787.262,3;3.940.933;22/09/2025
20240501;01/05/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;138.909,5;605.808;22/09/2025
20240501;01/05/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;210.075,4;740.006;22/09/2025
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.871.867,1;36.333.561;22/09/2025
20240501;01/05/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;492,8;5;22/09/2025
20240501;01/05/2024;Sul;SUL;Residencial;Cativo;2.330.961,5;11.449.247;22/09/2025
20240501;01/05/2024;Sul;SUL;Residencial;Livre;0,5;1;22/09/2025
20240401;01/04/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.382.254,8;6.334.606;22/09/2025
20240401;01/04/2024;Nordeste;NORDESTE;Residencial;Cativo;2.754.173,0;19.685.588;22/09/2025
20240401;01/04/2024;Nordeste;NORDESTE;Residencial;Livre;24,8;1;22/09/2025
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;397.980,7;2.530.934;22/09/2025
20240401;01/04/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;59,9;1;22/09/2025
20240401;01/04/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;975,0;706;22/09/2025
20240401;01/04/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;766.387,5;3.960.865;22/09/2025
20240401;01/04/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;149.839,1;611.876;22/09/2025
20240401;01/04/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;201.654,6;735.439;22/09/2025
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.720.767,8;36.133.639;22/09/2025
20240401;01/04/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;464,8;4;22/09/2025
20240401;01/04/2024;Sul;SUL;Residencial;Cativo;2.572.691,1;11.796.737;22/09/2025
20240301;01/03/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.422.775,6;6.321.911;22/09/2025
20240301;01/03/2024;Nordeste;NORDESTE;Residencial;Cativo;2.713.249,4;19.638.583;22/09/2025
20240301;01/03/2024;Nordeste;NORDESTE;Residencial;Livre;27,7;1;22/09/2025
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;378.237,6;2.521.699;22/09/2025
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;59,1;1;22/09/2025
20240301;01/03/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;978,0;706;22/09/2025
20240301;01/03/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;753.745,1;3.927.412;22/09/2025
20240301;01/03/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;139.991,6;601.314;22/09/2025
20240301;01/03/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;190.357,3;733.675;22/09/2025
