MesAno;Regiao;Consumo;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Estacao
2006-03;Sudeste;4121516,5;243,0;2327,4;941,3785714285714;23,571428571428573;5,6000000000000005;1,4000000000000001;outono
2006-03;Sul;1206397,2;78,0;720,1999999999999;985,4399999999999;23,45;7,183333333333334;2,2800000000000002;outono
2006-04;Centro-Oeste;555793,7999999999;127,0;0,0;949,2333333333332;24,03333333333333;5,815384615384615;1,7166666666666668;outono
2006-04;Nordeste;1183946,0;394,0;0,0;975,4499999999999;24,7;7,308695652173912;2,1842105263157894;outono
2006-04;Norte;348151,7;38,0;0,0;1003,9;26,35;5,15;1,25;outono
2006-04;Sudeste;3957603,7;122,0;0,0;939,6083333333332;22,00714285714286;4,671428571428572;1,3545454545454545;outono
2006-04;Sul;1184330,6;59,0;0,0;974,2333333333332;20,516666666666666;7,116666666666667;1,9666666666666668;outono
2006-05;Centro-Oeste;527020,4;18,0;0,0;911,45;21,84166666666667;5,276923076923077;;outono
2006-05;Nordeste;1153080,4;156,0;0,0;932,0;23,326315789473682;6,285714285714286;;outono
2006-05;Norte;345137,5;25,0;0,0;;26,049999999999997;4,1;;outono
2006-05;Sudeste;3811707,8;52,0;0,0;1015,3;19,264285714285712;4,673333333333333;0,9;outono
2006-05;Sul;1096409,5;31,0;0,0;;17,333333333333332;6,866666666666667;;outono
2006-06;Centro-Oeste;514691,7;27,0;124,60000000000001;953,1083333333332;22,099999999999998;6,038461538461538;2,1166666666666667;inverno
2006-06;Nordeste;1120204,1;299,0;2672,8;981,9476190476191;22,247619047619047;7,195;2,75625;inverno
2006-06;Norte;355133,19999999995;27,0;210,60000000000002;1006,2;26,9;5,300000000000001;1,4;inverno
2006-06;Sudeste;3828065,9;105,0;302,4;952,825;18,68235294117647;6,4;1,81875;inverno
2006-06;Sul;1145519,9;74,0;462,6;984,2428571428571;17,1;9,471428571428572;2,557142857142857;inverno
2006-07;Centro-Oeste;511993,0;31,0;132,2;953,1666666666666;22,566666666666666;7,375;2,0749999999999997;inverno
2006-07;Nordeste;1104726,1;301,0;1152,0;984,508695652174;22,786956521739132;6,995454545454546;2,716666666666667;inverno
2006-07;Norte;369331,7;35,0;188,8;1007,8666666666667;27,066666666666666;5,6000000000000005;1,3333333333333333;inverno
2006-07;Sudeste;3768572,2;124,0;348,0;950,1058823529411;19,242857142857144;5,680952380952381;1,6764705882352942;inverno
2006-07;Sul;1138292,5;94,0;550,4;982,0857142857143;17,44;7,720000000000001;2,3000000000000003;inverno
2006-08;Centro-Oeste;534089,0;30,0;193,0;945,1444444444444;24,119999999999997;7,0307692307692315;2,2444444444444445;inverno
2006-08;Nordeste;1108110,0;250,0;932,2;978,056;23,072;7,945454545454546;2,79;inverno
2006-08;Norte;372153,6;32,0;330,0;1007,0666666666666;27,53333333333333;5,1000000000000005;1,5666666666666667;inverno
2006-08;Sudeste;3774739,4;166,0;485,0;948,212;20,678571428571427;7,177777777777778;2,1166666666666667;inverno
2006-08;Sul;1150879,7;90,0;379,2;966,7555555555555;16,688888888888886;7,95;2,322222222222222;inverno
2006-09;Centro-Oeste;563954,6;109,0;487,20000000000005;946,39;24,684615384615384;7,546153846153846;2,4222222222222225;primavera
2006-09;Nordeste;1137729,3;257,0;1295,2;977,6999999999999;23,846153846153847;7,5260869565217385;3,005263157894737;primavera
2006-09;Norte;397911,7;33,0;185,8;1006,8000000000001;27,933333333333334;5,3;1,7666666666666666;primavera
2006-09;Sudeste;3888549,5;363,0;2749,6;946,9722222222222;20,63684210526316;8,243243243243244;2,5166666666666666;primavera
2006-09;Sul;1140225,4;117,0;1395,8;971,6299999999999;17,04;8,9;2,5100000000000002;primavera
2006-10;Centro-Oeste;563013,1;264,0;2729,8;950,4785714285715;24,764285714285712;7,057142857142857;1,8357142857142856;primavera
2006-10;Nordeste;1189699,5;260,0;1796,4;973,0807692307692;24,97037037037037;7,675;2,9428571428571426;primavera
2006-10;Norte;397548,6;25,0;226,20000000000002;1004,9;28,400000000000002;5,233333333333333;1,8666666666666665;primavera
2006-10;Sudeste;3901043,1;660,0;5343,8;949,6930232558141;22,054347826086957;7,969565217391305;2,4953488372093022;primavera
2006-10;Sul;1130931,6;130,0;1370,4;974,6833333333334;20,616666666666667;7,869230769230769;2,6416666666666666;primavera
2006-11;Centro-Oeste;582829,6;333,0;2957,0;959,0565217391304;25,316666666666666;7,2749999999999995;1,9130434782608696;primavera
2006-11;Nordeste;1252975,5;270,0;2125,8;975,716;25,16923076923077;7,4375;2,785;primavera
2006-11;Norte;402093,2;57,0;703,2;1004,5;27,233333333333334;5,133333333333334;1,5666666666666667;primavera
2006-11;Sudeste;3997650,5;851,0;10211,2;951,574;22,50980392156863;8,036538461538461;2,546;primavera
2006-11;Sul;1203159,6;230,0;2328,6;972,8384615384615;21,226666666666667;8,776470588235293;2,723076923076923;primavera
2006-12;Centro-Oeste;556938,9;576,0;6676,8;959,162962962963;25,00714285714286;6,651724137931034;1,7884615384615385;verão
2006-12;Nordeste;1218118,2;206,0;1511,4;974,0869565217391;25,991999999999997;7,1695652173913045;2,731578947368421;verão
2006-12;Norte;380070,6;63,0;876,2;999,775;26,9;5,675;1,475;verão
2006-12;Sudeste;4016722,8;1050,0;12249,8;947,5555555555555;23,189473684210526;7,914035087719299;2,375471698113208;verão
2006-12;Sul;1195034,2;247,0;2468,4;956,0454545454545;23,75909090909091;8,33181818181818;2,6636363636363636;verão
2007-01;Centro-Oeste;562552,0;740,0;8003,0;958,178125;25,08125;7,440625;1,81875;verão
2007-01;Nordeste;1259580,0;252,0;2292,8;977,3560000000001;26,476923076923075;7,968;2,92;verão
2007-01;Norte;377018,0;110,0;1128,8;999,475;26,8;5,675;1,4;verão
2007-01;Sudeste;4183534,0;1160,0;15324,0;948,0722222222222;23,403636363636366;7,374137931034483;2,169811320754717;verão
2007-01;Sul;1327669,0;408,0;4390,2;954,9416666666666;23,358333333333334;8,170833333333333;2,529166666666667;verão
2007-02;Centro-Oeste;550066,0;600,0;7003,8;958,2151515151514;24,803125;7,33030303030303;1,8212121212121213;verão
2007-02;Nordeste;1208193,0;351,0;3294,6;974,8818181818183;25,485185185185188;7,688;2,431578947368421;verão
2007-02;Norte;364503,0;156,0;2205,0;993,7428571428571;25,557142857142857;5,685714285714285;1,3285714285714287;verão
2007-02;Sudeste;4000465,0;800,0;7841,8;948,7789473684211;23,72203389830508;7,271186440677966;2,1928571428571426;verão
2007-02;Sul;1269714,0;326,0;4035,6;957,2227272727272;23,3;7,691666666666666;2,590909090909091;verão
2007-03;Centro-Oeste;552290,0;383,0;3387,4;958,990625;25,48125;6,675757575757576;1,628125;outono
2007-03;Nordeste;1194430,0;355,0;2580,4;974,7538461538461;25,335714285714285;6,476923076923077;2,382608695652174;outono
2007-03;Norte;352883,0;149,0;1722,6;993,1714285714286;25,942857142857143;5,671428571428572;1,0857142857142856;outono
2007-03;Sudeste;4219240,0;543,0;4329,6;951,5178571428571;24,433898305084742;6,672413793103448;1,9722222222222223;outono
